Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-15.3,-3.5,0.0,-7.416,-3.5,0.0,NA,NA,NA
2,Line,-15.3,-3.5,0.0,-15.3,3.5,0.0,NA,NA,NA
3,Line,-15.3,3.5,0.0,-7.416,3.5,0.0,NA,NA,NA
4,Line,7.416,3.5,0.0,15.3,3.5,0.0,NA,NA,NA
5,Line,15.3,-3.5,0.0,15.3,3.5,0.0,NA,NA,NA
6,Line,7.416,-3.5,0.0,15.3,-3.5,0.0,NA,NA,NA
7,3_point_circle_1,12.7,-0.0,0.0,10.15,1.472,0.0,10.15,-1.472,0.0
8,3_point_circle_2,-9.3,0.0,0.0,-11.85,1.472,0.0,-11.85,-1.472,0.0
9,3_point_circle_3,5.0,0.0,0.0,-2.5,4.33,0.0,-2.5,-4.33,0.0
10,3_point_circle_4,8.2,0.0,0.0,-4.1,7.101,0.0,-4.1,-7.101,0.0
