Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-15.3,-3.5,0.0,-7.416,-3.5,0.0,NA,NA,NA
2,Line,-15.3,3.5,0.0,-15.3,-3.5,0.0,NA,NA,NA
3,Line,-7.416,3.5,0.0,-15.3,3.5,0.0,NA,NA,NA
4,Line,15.3,3.5,0.0,7.416,3.5,0.0,NA,NA,NA
5,Line,15.3,-3.5,0.0,15.3,3.5,0.0,NA,NA,NA
6,Line,7.416,-3.5,0.0,15.3,-3.5,0.0,NA,NA,NA
7,3_point_arc_1,7.416,3.5,0.0,0.0,8.2,0.0,-7.416,3.5,0.0
8,3_point_arc_2,7.416,3.5,0.0,8.2,-0.0,0.0,7.416,-3.5,0.0
9,3_point_arc_3,7.416,-3.5,0.0,-0.0,-8.2,0.0,-7.416,-3.5,0.0
10,3_point_arc_4,-7.416,-3.5,0.0,-8.2,-0.0,0.0,-7.416,3.5,0.0
