Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-5.0,201.0,4.9,5.0,201.0,4.9,NA,NA,NA
2,Line,5.0,201.0,4.9,5.0,209.0,4.9,NA,NA,NA
3,Line,-0.0,209.0,4.9,5.0,209.0,4.9,NA,NA,NA
4,Line,-5.0,209.0,4.9,-0.0,209.0,4.9,NA,NA,NA
5,Line,-5.0,201.0,4.9,-5.0,209.0,4.9,NA,NA,NA
6,Line,-5.0,209.0,4.9,-5.0,219.791,4.9,NA,NA,NA
7,Line,5.0,209.0,4.9,5.0,219.791,4.9,NA,NA,NA
8,Line,5.0,219.791,4.9,5.0,220.291,4.9,NA,NA,NA
9,Line,-5.0,219.791,4.9,-5.0,220.291,4.9,NA,NA,NA
10,3_point_circle_1,1.7,205.0,4.9,-0.85,206.472,4.9,-0.85,203.528,4.9
11,3_point_arc_1,-5.0,220.291,4.9,-0.0,220.484,4.9,5.0,220.291,4.9
